Date,Open,High,Low,Close,Volume
2021-05-04 19:33:00,56209.99000000,56223.69000000,56170.89000000,56209.98000000,51.79362400
2021-05-04 19:34:00,56207.58000000,56222.81000000,56173.10000000,56185.97000000,46.55113100
2021-05-04 19:35:00,56185.98000000,56199.04000000,56100.57000000,56143.01000000,56.58383900
2021-05-04 19:36:00,56143.00000000,56278.77000000,56133.48000000,56225.43000000,64.70005400
2021-05-04 19:37:00,56225.43000000,56274.58000000,56224.52000000,56234.96000000,24.97061600
2021-05-04 19:38:00,56234.95000000,56267.40000000,56202.11000000,56229.38000000,31.32270100
2021-05-04 19:39:00,56223.11000000,56239.75000000,56139.51000000,56153.28000000,30.61725700
2021-05-04 19:40:00,56153.29000000,56168.43000000,56105.00000000,56149.58000000,42.51484400
2021-05-04 19:41:00,56149.59000000,56174.55000000,56054.36000000,56054.52000000,51.55334100
2021-05-04 19:42:00,56054.51000000,56105.92000000,55991.23000000,56014.77000000,47.80015400
2021-05-04 19:43:00,56019.82000000,56061.09000000,55984.43000000,56015.82000000,103.39015400
2021-05-04 19:44:00,56015.82000000,56049.99000000,55986.00000000,56032.04000000,61.52685900
2021-05-04 19:45:00,56032.03000000,56050.00000000,55985.34000000,55993.67000000,30.01049500
2021-05-04 19:46:00,55993.67000000,56018.43000000,55939.39000000,56018.43000000,39.38779800
2021-05-04 19:47:00,56018.43000000,56075.61000000,56006.21000000,56061.01000000,35.43474200
2021-05-04 19:48:00,56061.02000000,56116.45000000,56025.96000000,56038.94000000,29.98767900
2021-05-04 19:49:00,56038.93000000,56038.94000000,55958.00000000,55968.16000000,36.06990900
2021-05-04 19:50:00,55968.11000000,55991.39000000,55950.86000000,55960.32000000,26.13340300
2021-05-04 19:51:00,55960.31000000,56031.25000000,55857.14000000,56031.24000000,63.65267100
2021-05-04 19:52:00,56031.25000000,56159.41000000,56031.24000000,56077.67000000,68.60601600
2021-05-04 19:53:00,56080.33000000,56141.25000000,55985.82000000,56053.53000000,126.02224700
2021-05-04 19:54:00,56053.54000000,56065.55000000,56007.89000000,56042.41000000,44.76799800
2021-05-04 19:55:00,56042.41000000,56077.75000000,56025.31000000,56043.15000000,31.01880800
2021-05-04 19:56:00,56043.16000000,56109.49000000,56043.09000000,56108.07000000,41.21327800
2021-05-04 19:57:00,56108.07000000,56191.36000000,56108.07000000,56181.85000000,54.06719600
2021-05-04 19:58:00,56181.84000000,56210.00000000,56152.19000000,56186.68000000,57.58825200
2021-05-04 19:59:00,56186.68000000,56187.06000000,56132.60000000,56143.42000000,62.19503400
2021-05-04 20:00:00,56143.43000000,56168.02000000,56083.96000000,56086.51000000,76.45467800
2021-05-04 20:01:00,56086.51000000,56098.06000000,56026.31000000,56069.92000000,46.15753500
2021-05-04 20:02:00,56069.92000000,56097.60000000,56039.39000000,56086.10000000,36.38373300
2021-05-04 20:03:00,56086.10000000,56132.56000000,56050.00000000,56104.69000000,29.34651100
2021-05-04 20:04:00,56104.69000000,56144.62000000,56089.49000000,56092.69000000,29.11752000
2021-05-04 20:05:00,56089.88000000,56179.23000000,56075.00000000,56101.53000000,98.50262500
2021-05-04 20:06:00,56101.54000000,56101.54000000,56005.00000000,56005.00000000,55.91069300
2021-05-04 20:07:00,56005.01000000,56014.58000000,55900.95000000,55904.70000000,98.96855400
2021-05-04 20:08:00,55904.70000000,55934.83000000,55777.97000000,55840.09000000,121.80275800
2021-05-04 20:09:00,55840.10000000,55854.17000000,55650.00000000,55672.34000000,137.57697800
2021-05-04 20:10:00,55672.34000000,55744.52000000,55609.75000000,55630.01000000,116.34165100
2021-05-04 20:11:00,55630.02000000,55755.56000000,55621.47000000,55728.74000000,95.48625600
2021-05-04 20:12:00,55728.50000000,55766.04000000,55693.10000000,55740.01000000,85.45836200
2021-05-04 20:13:00,55740.02000000,55758.01000000,55609.13000000,55614.52000000,63.12115100
2021-05-04 20:14:00,55610.66000000,55748.31000000,55600.00000000,55717.57000000,79.97972800
2021-05-04 20:15:00,55717.96000000,55768.82000000,55670.09000000,55758.48000000,75.16127400
2021-05-04 20:16:00,55758.48000000,55786.46000000,55663.27000000,55673.20000000,87.80751000
2021-05-04 20:17:00,55673.19000000,55686.52000000,55460.16000000,55529.22000000,160.11948300
2021-05-04 20:18:00,55529.21000000,55736.02000000,55522.00000000,55715.27000000,106.14223000
2021-05-04 20:19:00,55715.28000000,55746.79000000,55644.26000000,55682.06000000,77.88655400
2021-05-04 20:20:00,55679.39000000,55777.48000000,55679.39000000,55764.16000000,80.06792500
2021-05-04 20:21:00,55764.17000000,55774.27000000,55692.46000000,55733.48000000,39.73140400
2021-05-04 20:22:00,55733.48000000,56000.00000000,55720.00000000,55774.65000000,131.78559500
2021-05-04 20:23:00,55774.65000000,55784.50000000,55690.80000000,55707.18000000,55.96931700
2021-05-04 20:24:00,55707.18000000,55757.21000000,55686.88000000,55688.96000000,96.92716000
2021-05-04 20:25:00,55694.15000000,55711.58000000,55645.16000000,55711.57000000,80.31526200
2021-05-04 20:26:00,55711.57000000,55732.88000000,55640.01000000,55649.47000000,96.52427300
2021-05-04 20:27:00,55649.46000000,55673.62000000,55615.00000000,55654.35000000,61.53457800
2021-05-04 20:28:00,55654.35000000,55852.62000000,55652.49000000,55758.69000000,149.01176600
2021-05-04 20:29:00,55758.69000000,55788.15000000,55711.62000000,55778.78000000,89.41475100
2021-05-04 20:30:00,55778.78000000,55811.54000000,55762.54000000,55810.00000000,80.68506900
2021-05-04 20:31:00,55810.00000000,55855.75000000,55740.00000000,55809.50000000,76.92002200
2021-05-04 20:32:00,55809.50000000,55820.61000000,55702.22000000,55809.50000000,197.49354800
2021-05-04 20:33:00,55809.51000000,55910.26000000,55777.90000000,55898.54000000,236.92375700
2021-05-04 20:34:00,55898.55000000,55943.37000000,55822.67000000,55929.97000000,85.79846600
2021-05-04 20:35:00,55929.98000000,55961.04000000,55886.63000000,55907.48000000,80.83943600
2021-05-04 20:36:00,55907.48000000,55941.66000000,55849.20000000,55910.60000000,66.15754200
2021-05-04 20:37:00,55906.80000000,55915.06000000,55850.00000000,55901.45000000,54.68187900
2021-05-04 20:38:00,55901.45000000,56000.00000000,55884.61000000,55994.09000000,110.91925700
2021-05-04 20:39:00,55994.09000000,56034.63000000,55932.07000000,55932.08000000,99.56505200
2021-05-04 20:40:00,55932.08000000,56034.63000000,55920.76000000,56015.34000000,60.89857800
2021-05-04 20:41:00,56015.34000000,56149.99000000,56015.34000000,56144.34000000,66.25835000
2021-05-04 20:42:00,56144.34000000,56144.35000000,56090.00000000,56096.18000000,57.49460700
2021-05-04 20:43:00,56096.18000000,56144.20000000,56074.82000000,56144.19000000,42.67694800
2021-05-04 20:44:00,56144.19000000,56209.54000000,56126.96000000,56166.19000000,68.88957500
2021-05-04 20:45:00,56166.18000000,56232.37000000,56166.18000000,56221.15000000,94.66240600
2021-05-04 20:46:00,56221.14000000,56224.99000000,56138.92000000,56205.34000000,94.43149100
2021-05-04 20:47:00,56205.34000000,56217.20000000,56178.01000000,56194.99000000,61.64395800
2021-05-04 20:48:00,56194.99000000,56321.18000000,56175.27000000,56314.75000000,122.74793800
2021-05-04 20:49:00,56314.77000000,56314.77000000,56181.08000000,56238.40000000,64.12657200
2021-05-04 20:50:00,56238.41000000,56249.07000000,56094.67000000,56112.58000000,118.39634900
2021-05-04 20:51:00,56109.16000000,56196.62000000,56100.00000000,56186.83000000,54.96840800
2021-05-04 20:52:00,56186.83000000,56213.07000000,56162.89000000,56162.90000000,23.76701700
2021-05-04 20:53:00,56166.45000000,56166.93000000,56089.02000000,56090.65000000,41.70214300
2021-05-04 20:54:00,56090.66000000,56090.66000000,55954.91000000,56007.00000000,64.63142300
2021-05-04 20:55:00,56007.00000000,56081.57000000,56005.24000000,56045.47000000,35.96440800
2021-05-04 20:56:00,56050.75000000,56069.95000000,56013.58000000,56018.30000000,37.60667800
2021-05-04 20:57:00,56018.29000000,56047.64000000,55963.35000000,55969.01000000,30.69177200
2021-05-04 20:58:00,55969.01000000,56023.37000000,55965.05000000,55966.12000000,39.62953200
2021-05-04 20:59:00,55966.11000000,56024.48000000,55966.11000000,56020.57000000,33.90012900
